****************** Mapping Result ********************
144
core_0
   node  r_index  index_r  | AG_index  xbar_num  input_cycle
      1      0       0     |     0         1         11
      1      1       0     |     1         1         11
      1      2       0     |     2         1         11
      1      3       0     |     3         1         11
      1      4       0     |     4         1         11
      1      5       0     |     5         1         11
      1      6       0     |     6         1         11
      1      7       0     |     7         1         11
      1      8       0     |     8         1         11
      1      9       0     |     9         1         11
      1     10       0     |    10         1         11
      1     11       0     |    11         1         11
      1     12       0     |    12         1         11
      1     13       0     |    13         1         11
      1     14       0     |    14         1         11
      1     15       0     |    15         1         11
      3      0       0     |  1147         1         12
      3      1       0     |  1148         1         12
      4      0       0     |  1421         1         11
      4      1       0     |  1422         1         11
      7      0       0     |  2296         1         11
      7      1       0     |  2297         1         11
      7      2       0     |  2298         1         11
      7      3       0     |  2299         1         11
      7      4       0     |  2300         1         11
      7      5       0     |  2301         1         11
      7      6       0     |  2302         1         11
      8      0       0     |  2598         1         11
      8      1       0     |  2599         1         11
      8      2       0     |  2600         1         11
      8      3       0     |  2601         1         11
      8      4       0     |  2602         1         11
core_1
   node  r_index  index_r  | AG_index  xbar_num  input_cycle
      1     16       0     |    16         1         11
      1     17       0     |    17         1         11
      1     18       0     |    18         1         11
      1     19       0     |    19         1         11
      1     20       0     |    20         1         11
      1     21       0     |    21         1         11
      1     22       0     |    22         1         11
      1     23       0     |    23         1         11
      1     24       0     |    24         1         11
      1     25       0     |    25         1         11
      1     26       0     |    26         1         11
      1     27       0     |    27         1         11
      1     28       0     |    28         1         11
      1     29       0     |    29         1         11
      1     30       0     |    30         1         11
      3      2       0     |  1149         1         12
      3      3       0     |  1150         1         12
      4      2       0     |  1423         1         11
      4      3       0     |  1424         1         11
      5      0       0     |  1696         1         11
      5      0       1     |  1697         1         11
      7      7       0     |  2303         1         11
      8      5       0     |  2603         1         11
      8      6       0     |  2604         1         11
      8      7       0     |  2605         1         11
      8      8       0     |  2606         1         11
      8      9       0     |  2607         1         11
      8     10       0     |  2608         1         11
      8     11       0     |  2609         1         11
      8     12       0     |  2610         1         11
      8     13       0     |  2611         1         11
      8     14       0     |  2612         1         11
      8     15       0     |  2613         1         11
core_2
   node  r_index  index_r  | AG_index  xbar_num  input_cycle
      1     31       0     |    31         1         11
      1     32       0     |    32         1         11
      1     33       0     |    33         1         11
      1     34       0     |    34         1         11
      1     35       0     |    35         1         11
      1     36       0     |    36         1         11
      1     37       0     |    37         1         11
      1     38       0     |    38         1         11
      1     39       0     |    39         1         11
      1     40       0     |    40         1         11
      1     41       0     |    41         1         11
      1     42       0     |    42         1         11
      1     43       0     |    43         1         11
      1     44       0     |    44         1         11
      1     45       0     |    45         1         11
      3      4       0     |  1151         1         12
      3      5       0     |  1152         1         12
      4      4       0     |  1425         1         11
      4      5       0     |  1426         1         11
      5      1       0     |  1698         1         11
      5      1       1     |  1699         1         11
      5      2       0     |  1700         1         11
      5      2       1     |  1701         1         11
      5      3       0     |  1702         1         11
      5      3       1     |  1703         1         11
      5      4       0     |  1704         1         11
      5      4       1     |  1705         1         11
      7      8       0     |  2304         1         11
      7      9       0     |  2305         1         11
      8     16       0     |  2614         1         11
      8     17       0     |  2615         1         11
      8     18       0     |  2616         1         11
      8     19       0     |  2617         1         11
      8     20       0     |  2618         1         11
      8     21       0     |  2619         1         11
      8     22       0     |  2620         1         11
core_3
   node  r_index  index_r  | AG_index  xbar_num  input_cycle
      1     46       0     |    46         1         11
      1     47       0     |    47         1         11
